Note,Scan rate [mV/s],file no (<9),file no (>9),1,2,3,4,5,6,7,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105,108,111,114
1-115,1,4,2,0.14284536,0.14183591,0.14237034,0.14181994,0.14034393,0.13978937,0.13832499,0.137325,0.13584673,0.13582344,0.13380022,0.13282675,0.13282035,0.13282353,0.13182992,0.13133258,0.13131882,0.13080026,0.13080348,0.13133049,0.13127321,0.13082679,0.13078223,0.13029456,0.13031889,0.13081832,0.13082148,0.13078749,0.13031891,0.1298237,0.13029349,0.13028608,0.12927444,0.13031787,0.13031045,0.12982371,0.1297866,0.12980253,0.12975162,0.12926704,0.12831479,0.12981416,0.1293105
002+003,5,5,3,0.14333218,0.14283359,0.14231206,0.14230254,0.14132404,0.13984768,0.13882782,0.1378286,0.13731648,0.13580859,0.13480228,0.13379171,0.13282762,0.1323082,0.13231456,0.13134424,0.13183738,0.13137104,0.13131373,0.13133998,0.13134019,0.13132966,0.13134125,0.13083212,0.13084696,0.13129891,0.13130829,0.13085435,0.13129768,0.13083211,0.13085862,0.13032497,0.13082469,0.13032295,0.12980711,0.12977628,0.12977235,0.12976693,0.12931468,0.12975512,0.12934966,0.12930831,0.12931043
,10,6,4,0.14436288,0.14386287,0.14335126,0.14285819,0.14232375,0.14082964,0.13933553,0.13881096,0.13783608,0.13682976,0.13581814,0.13479167,0.13436645,0.13381507,0.13384585,0.13279599,0.13285114,0.13331029,0.13277903,0.13282567,0.13282673,0.13285325,0.13229972,0.1323082,0.13182466,0.13133685,0.13132943,0.1313199,0.13231032,0.13133685,0.13125838,0.13136338,0.13134852,0.13134535,0.13130929,0.13126265,0.13122763,0.13129231,0.13078862,0.13130081,0.13133793,0.13079605,0.13080665
,20,7,5,0.14587162,0.14489415,0.14484932,0.14436735,0.1438152,0.14286993,0.14235219,0.14080307,0.1398413,0.13780876,0.13731143,0.13678859,0.13638368,0.13634291,0.13632399,0.1358044,0.1348086,0.13582782,0.13579047,0.13482361,0.13480768,0.13481475,0.13480145,0.13483547,0.13432412,0.13431014,0.13529022,0.13430698,0.13477343,0.13430545,0.13380541,0.13431004,0.13284181,0.13379647,0.13377877,0.13280939,0.13328816,0.13327862,0.13332532,0.13276823,0.13180543,0.13280441,0.13229546
,40,8,6,0.14984649,0.14887647,0.14884172,0.14736263,0.14732906,0.14536494,0.14479265,0.14385653,0.14331099,0.14181025,0.14031737,0.13929638,0.13930057,0.13930628,0.13884304,0.13781402,0.13780704,0.13883299,0.13828439,0.13786089,0.13781165,0.13784982,0.13880008,0.13883911,0.13786209,0.13780005,0.13881713,0.13780007,0.13833143,0.13783514,0.13780499,0.13777195,0.13781402,0.13781452,0.13779102,0.13731775,0.13726765,0.1377525,0.13774516,0.13778828,0.13729236,0.13782577,0.1373537
,60,9,7,0.15285265,0.151335,0.15185459,0.15036201,0.1498467,0.14833313,0.14785755,0.14629337,0.14533852,0.14434981,0.14330003,0.14229311,0.14186254,0.14229937,0.14182205,0.14081506,0.14033376,0.14182256,0.14129528,0.14079107,0.14083725,0.14082898,0.14183545,0.14231496,0.13980523,0.14179058,0.14231722,0.14132994,0.14230415,0.14180063,0.14032705,0.14080706,0.14185144,0.14082462,0.14179522,0.13976529,0.14129251,0.14027984,0.14177045,0.14176041,0.14031079,0.14081222,0.13982607
,80,10,8,0.15584914,0.15427241,0.15430242,0.1528412,0.15229324,0.15077466,0.15031487,0.14929983,0.14831954,0.14679223,0.14533715,0.14435688,0.14381221,0.14383981,0.14431702,0.14282131,0.14283054,0.14426315,0.14432314,0.14331153,0.1433105,0.14386572,0.14429314,0.14430268,0.14332548,0.14381492,0.14479895,0.14380471,0.14480168,0.14383981,0.14381118,0.14386334,0.1442761,0.14379413,0.1442945,0.14278413,0.14429279,0.14379244,0.14426143,0.14481224,0.14381562,0.14384629,0.14331867
,100,11,9,0.15835404,0.15679149,0.15735456,0.15581723,0.15534253,0.15331469,0.15237485,0.15083045,0.15031633,0.14878263,0.14780614,0.14632991,0.14531438,0.14628868,0.14630562,0.14486322,0.14483415,0.14630388,0.14579894,0.14481725,0.14528444,0.14533997,0.14732549,0.14727603,0.14481419,0.14580762,0.14725564,0.14580067,0.14778315,0.14631689,0.14532001,0.1458753,0.14732896,0.14580414,0.14729816,0.14478123,0.14726475,0.14624532,0.14727515,0.14726476,0.14629132,0.14730382,0.14532866
,200,12,10,0.17078206,0.16830873,0.16980341,0.16781053,0.16729313,0.16477996,0.16425508,0.16232812,0.16176765,0.15981986,0.15882386,0.15731597,0.15677544,0.15778013,0.15776622,0.15579222,0.15576757,0.1577836,0.15829548,0.15627657,0.15676332,0.15681794,0.15928803,0.1592889,0.15678933,0.15826163,0.15972878,0.15828505,0.16024588,0.15878826,0.15828854,0.15876399,0.15979037,0.15874837,0.15973137,0.15723181,0.1597539,0.15926634,0.16030227,0.16123752,0.15930365,0.16029792,0.15827118
,400,13,11,0.18815346,0.18414511,0.18737513,0.18493511,0.18417268,0.18172632,0.18174647,0.17932448,0.17859812,0.17623872,0.17538509,0.17383796,0.17227702,0.17460357,0.17542328,0.171469,0.17144567,0.17458978,0.17538828,0.17223462,0.17302462,0.17382099,0.1778028,0.17698416,0.17297795,0.17621113,0.1786066,0.17619205,0.1802025,0.17698947,0.1761613,0.17697249,0.17945385,0.17781764,0.17943053,0.17536598,0.18014736,0.17936905,0.18097554,0.18175705,0.17861299,0.18019615,0.17701708
,600,14,12,0.20197158,0.19837578,0.20195571,0.19954434,0.19956447,0.19595061,0.19593154,0.19356045,0.19248627,0.19005053,0.18888088,0.18770382,0.18529777,0.18889892,0.190024,0.18524687,0.18407089,0.1888883,0.19006747,0.18526597,0.18767202,0.18764338,0.1924725,0.19247884,0.18649817,0.19005689,0.19365059,0.19129014,0.19605772,0.19244492,0.19125833,0.19243537,0.19488384,0.19364212,0.19487853,0.19002931,0.19722098,0.19484037,0.19843093,0.19841078,0.19484781,0.19727719,0.19245553
,800,15,13,0.2150199,0.21021095,0.21499975,0.21180367,0.21177825,0.20860021,0.20860125,0.20701064,0.2055441,0.20232366,0.200767,0.19913712,0.1975656,0.20073938,0.20229183,0.19589971,0.19590396,0.20235123,0.20231728,0.19749987,0.19910638,0.20070019,0.20549107,0.20555258,0.19754864,0.20391642,0.20717077,0.20394711,0.21030641,0.20548899,0.20389941,0.20552289,0.21029261,0.20712835,0.21029153,0.20389093,0.21187685,0.21027988,0.21348974,0.21513762,0.21030426,0.21349397,0.20708488
,1000,16,14,0.23091011,0.22480533,0.23087405,0.2268445,0.22683284,0.22482441,0.22480956,0.22077261,0.22100484,0.21697529,0.21699546,0.21498597,0.21097761,0.21698907,0.21695407,0.2109734,0.21099883,0.21697,0.21699014,0.2129712,0.21500188,0.21498491,0.22293584,0.22096878,0.21295528,0.21899217,0.22498985,0.21894234,0.22692721,0.22097091,0.21899007,0.2209762,0.22696644,0.22295915,0.22699614,0.21894023,0.22903317,0.22688901,0.23099384,0.23094934,0.2269357,0.22903107,0.22293584
