cycle,file name,max alpha_eff,minimum Tafel slope,charge[mC],normalized charge
1,workspace_calculate_alpha_eff/20221101_1-115_002_TrumpetPlot_ParaChange_18_CV_C01_0.csv,1.0246182422536714,0.05758464297701578,34.75874441366541,1.0
2,workspace_calculate_alpha_eff/20221101_1-115_002_TrumpetPlot_ParaChange_18_CV_C01_1.csv,1.045748544132416,0.056414870124122975,32.435074881289395,0.9331486343487578
3,workspace_calculate_alpha_eff/20221101_1-115_002_TrumpetPlot_ParaChange_18_CV_C01_2.csv,1.0210807665964854,0.05777794070090851,30.691266195223395,0.8829797138229514
4,workspace_calculate_alpha_eff/20221101_1-115_002_TrumpetPlot_ParaChange_18_CV_C01_3.csv,1.020886078014766,0.05779124198209926,29.149268861877612,0.8386168532145704
5,workspace_calculate_alpha_eff/20221101_1-115_002_TrumpetPlot_ParaChange_18_CV_C01_4.csv,1.0093200099405524,0.05845266080766997,27.393095017976655,0.7880921903268477
6,workspace_calculate_alpha_eff/20221101_1-115_002_TrumpetPlot_ParaChange_18_CV_C01_5.csv,1.0088632536678388,0.058479851258075956,25.700207554713188,0.7393882600836739
7,workspace_calculate_alpha_eff/20221101_1-115_002_TrumpetPlot_ParaChange_18_CV_C01_6.csv,0.9780590669894784,0.060347106835805395,24.849744803532012,0.7149206688191627
9,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_0.csv,0.9363234237175538,0.06300932084637297,22.80674520332261,0.6561441038231557
12,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_3.csv,0.9154097570413051,0.06444500534621762,21.45311388007888,0.6172004841361468
15,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_6.csv,0.8931433093957741,0.06605358174282769,20.522418934927238,0.5904246336026696
18,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_9.csv,0.8764364620292803,0.0673199161058329,19.8336583422909,0.5706091712131377
21,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_12.csv,0.8657381014136663,0.0681424007802234,19.38528017412452,0.5577094484029519
24,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_15.csv,0.8472410388762492,0.06963140980343478,19.162440406170987,0.5512984064705533
27,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_18.csv,0.830591262219294,0.07102787676984625,19.022479518338592,0.5472717682765289
30,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_21.csv,0.8167247842885443,0.07223598694446953,18.557510799747085,0.5338947396630125
33,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_24.csv,0.8222928208973564,0.07174814011317993,18.37966370624538,0.5287781252253579
36,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_27.csv,0.8044201066974986,0.07334480876861069,18.554093107571184,0.5337964135515965
39,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_30.csv,0.7914788916046931,0.07453730080713679,18.430880118197976,0.5302516080227533
42,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_33.csv,0.7933250380350826,0.07437332586937812,18.108873105087984,0.5209875503434029
45,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_36.csv,0.7831664874614989,0.07533274621601321,18.030650429602296,0.518737104396485
48,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_39.csv,0.7756009979504971,0.07606953979785731,18.061559811309703,0.5196263592366356
51,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_42.csv,0.7589204515816422,0.07773604484011593,18.11524563523934,0.5211708863717565
54,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_45.csv,0.7546268775679987,0.07817841634864896,17.962038685208547,0.5167631624273161
57,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_48.csv,0.7609307009579078,0.0775344537349013,17.64823895254219,0.5077352260631077
60,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_51.csv,0.7442653168562412,0.07926579059823295,17.87750796548792,0.5143312356950204
63,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_54.csv,0.7331211185008354,0.08047234711384299,17.84022207330091,0.5132585303135122
66,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_57.csv,0.7345898819164662,0.08032062543983284,17.58211565488708,0.5058328760567848
69,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_60.csv,0.7271511628992031,0.0811292277251276,17.73396292949206,0.5102014824942855
72,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_63.csv,0.7232353096317199,0.08157470189983834,17.52751417742147,0.5042620058085447
75,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_66.csv,0.7224189375690343,0.08166606929587841,17.42109227541824,0.5012002754785679
78,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_69.csv,0.7139612624429166,0.0826284934035971,17.494600674290474,0.503315092918387
81,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_72.csv,0.7003181783942093,0.08424446834726436,17.466783090758085,0.50251478830435
84,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_75.csv,0.6979575366611007,0.08452585495455378,17.318384122732446,0.4982453887466579
87,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_78.csv,0.6940890919231018,0.0849964862944115,17.20847342111946,0.4950832865629618
90,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_81.csv,0.693262766236464,0.08509127511094335,16.972807810944744,0.4883032484991569
93,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_84.csv,0.6788536195102867,0.0869097854359684,17.116306199062524,0.4924316596526209
96,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_87.csv,0.6755626341137991,0.087333572573562,16.963063278018275,0.48802290083151684
99,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_90.csv,0.6691679549365112,0.08816471960606882,16.959620270472556,0.4879238464035219
102,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_93.csv,0.6663845618917629,0.08852191832142381,16.99342324339395,0.48889634910727614
105,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_96.csv,0.665293401314037,0.08868983429304693,16.92092680797213,0.48681064559166476
108,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_99.csv,0.6625898446066363,0.08904433977336937,16.993224970490154,0.48889064484761025
111,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_102.csv,0.6697029448799935,0.08809927223913873,16.835122318321687,0.48434207283111624
